name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,price_text,ragular_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Boucle Fabric-4780620 ,Boucle Fabric ,Boucle ,44 Inches,"Heavy weight Fabric/ Suitable for making winter coats, band gala, nehru jackets, long coats, bags and used for home furnishing.",40% Polyster 40% Viscose 10% Wool 10% Lurex ,Multicolour ,0.2,4780620,610 Per Meter ,610,rayons-modals>rayons-blends | latest-fabrics | trending-fabrics | autumn-winter,"Boucle fabric, suitable for making coats, long coats, overcoats, dresses, tops, sweaters, kids wear, accessories, woolen dresses, winter wear and more.","Boucle fabric is a wool and mix fiber blend fabric. To make boucle, at least two strands are combined, with the tension on one strand being much looser than the other as it is being plied, with the loose strand forming the loops and the other strand as the anchor.","4780620-(4).jpg, 4780620-(2).jpg, 4780620-(3).jpg","Boucle Fabric, boucle, fabric for jackets, fabric for coats, fabric for dresses, fabric for skirts, fabric for tops, fabric for winter dresses, fabric for long coats, fabric for blazzers, fabric for winter, fabric for sweater, wollen boucle, 4780620 ",no ,in_stock,published 
Boucle Fabric-4782020 ,Boucle Fabric ,Boucle ,47 Inches ,"Heavy weight Fabric/ Suitable for making winter coats, band gala, nehru jackets, long coats, bags and used for home furnishing.",40% Polyster 40% Viscose 10% Wool 10% Lurex ,Multicolour ,0.2,4782020,610 Per Meter ,610,rayons-modals>rayons-blends | latest-fabrics | trending-fabrics | autumn-winter,"Boucle fabric, suitable for making coats, long coats, overcoats, dresses, tops, sweaters, kids wear, accessories, woolen dresses, winter wear and more.","Boucle fabric is a wool and mix fiber blend fabric. To make boucle, at least two strands are combined, with the tension on one strand being much looser than the other as it is being plied, with the loose strand forming the loops and the other strand as the anchor.","4782020-(4).jpg, 4782020-(2).jpg, 4782020-(3).jpg","Boucle Fabric, boucle, fabric for jackets, fabric for coats, fabric for dresses, fabric for skirts, fabric for tops, fabric for winter dresses, fabric for long coats, fabric for blazzers, fabric for winter, fabric for sweater, wollen boucle, 4782020 ",no ,in_stock,published 
Printed Wool Fabric-5128420,Printed Wool Fabric ,Twill,42 Inches,"Lightweight & soft/ Suitable for making dresses, suits, kurti, nehru jackets, winter dresses, blouses, skirts, etc.",100% Wool ,Black ,0.2,5128420,1020 Per Meter ,1020,silks-wools>wool-prints | latest-fabrics | trending-fabrics | autumn-winter,"Printed wool fabric, suitable for making dresses, suits, stoles, skirts, tops, kurtis, kids wear, woollen wear, woollen dresses etc.","Printed wool fabric is a twill weave fabric made of 100% Wool. Wool fabrics have excellent absorbency, moisture regain is high, they tend to be warmer than others. Wool have good elasticity and resiliency.","5128420-(4).jpg, 5128420-(2).jpg, 5128420-(3).jpg","printed wool fabric, printed wool, wool prints, wool, fabric for winters, fabric for kurtis, fabric for suits, fabric for blouses, fabric for tops, fabric for skirts, fabric for nehru jackets, fabric for dresses, fabric for winter dresses, fabric for winter suits, fabric for stoles, fabric for kids wear, paisley design, 5128420",no ,in_stock,published 
Printed Wool Fabric-5129220,Printed Wool Fabric ,Twill,42 Inches,"Lightweight & soft/ Suitable for making dresses, suits, kurti, nehru jackets, winter dresses, blouses, skirts, etc.",100% Wool ,Multicolour ,0.2,5129920,1020 Per Meter ,1020,silks-wools>wool-prints | latest-fabrics | trending-fabrics | autumn-winter,"Printed wool fabric, suitable for making dresses, suits, stoles, skirts, tops, kurtis, kids wear, woollen wear, woollen dresses etc.","Printed wool fabric is a twill weave fabric made of 100% Wool. Wool fabrics have excellent absorbency, moisture regain is high, they tend to be warmer than others. Wool have good elasticity and resiliency.","5129220-(4).jpg, 5129220-(2).jpg, 5129220-(3).jpg","printed wool fabric, printed wool, wool prints, wool, fabric for winters, fabric for kurtis, fabric for suits, fabric for blouses, fabric for tops, fabric for skirts, fabric for nehru jackets, fabric for dresses, fabric for winter dresses, fabric for winter suits, fabric for stoles, fabric for kids wear, paisley design, 5129220",no ,in_stock,published 
Printed Wool Fabric-5128520,Printed Wool Fabric ,Twill,42 Inches,"Lightweight & soft/ Suitable for making dresses, suits, kurti, nehru jackets, winter dresses, blouses, skirts, etc.",100% Wool ,Multicolour ,0.2,5128520,1020 Per Meter ,1020,silks-wools>wool-prints | latest-fabrics | trending-fabrics | autumn-winter,"Printed wool fabric, suitable for making dresses, suits, stoles, skirts, tops, kurtis, kids wear, woollen wear, woollen dresses etc.","Printed wool fabric is a twill weave fabric made of 100% Wool. Wool fabrics have excellent absorbency, moisture regain is high, they tend to be warmer than others. Wool have good elasticity and resiliency.","5128520-(4).jpg, 5128520-(2).jpg, 5128520-(3).jpg","printed wool fabric, printed wool, wool prints, wool, fabric for winters, fabric for kurtis, fabric for suits, fabric for blouses, fabric for tops, fabric for skirts, fabric for nehru jackets, fabric for dresses, fabric for winter dresses, fabric for winter suits, fabric for stoles, fabric for kids wear, floral design, 5128520",no ,in_stock,published 
Printed Wool Fabric-5128020,Printed Wool Fabric ,Twill,42 Inches,"Lightweight & soft/ Suitable for making dresses, suits, kurti, nehru jackets, winter dresses, blouses, skirts, etc.",100% Wool ,Multicolour ,0.2,5128020,1020 Per Meter ,1020,silks-wools>wool-prints | latest-fabrics | trending-fabrics | autumn-winter,"Printed wool fabric, suitable for making dresses, suits, stoles, skirts, tops, kurtis, kids wear, woollen wear, woollen dresses etc.","Printed wool fabric is a twill weave fabric made of 100% Wool. Wool fabrics have excellent absorbency, moisture regain is high, they tend to be warmer than others. Wool have good elasticity and resiliency.","5128020-(4).jpg, 5128020-(2).jpg, 5128020-(3).jpg","printed wool fabric, printed wool, wool prints, wool, fabric for winters, fabric for kurtis, fabric for suits, fabric for blouses, fabric for tops, fabric for skirts, fabric for nehru jackets, fabric for dresses, fabric for winter dresses, fabric for winter suits, fabric for stoles, fabric for kids wear, floral design, 5128020",no ,in_stock,published 
Sequin Work Lurex Knit Fabric-2368320,Sequin Work Lurex Knit ,Knitted ,60 Inches ,"Lightweight & soft drape fabric/ Suitable for making dresses, skirts, tops, designer wear, capes, designer outfits and more.",70% Polyester 30% Lurex,Silver On Black ,0.2,2368320,1110 Per Meter ,1110,polyester-fabrics>knits | knits>poly-knits | latest-fabrics | trending-fabrics,"Sequin knitted fabric suitable for making dresses, bodycon dresses, tops, skirts, palazzo, crop tops, evening gowns, designer wear and more.",Sequin knitted fabric is a polyester lurex blend fabric with sequin pasting on the surface of the fabric. This knitted fabric is stretchable fabric with soft feel. Commonly used for making dresses.,"2368320-(4).jpg, 2368320-(2).jpg, 2368320-(3).jpg","knitted sequin fabric, sequin work lurex knitted fabric, knitted fabric, sequin work, knitted sequin, lurex work fabric, fabric for tops, fabric for skirts, fabric for jackets, fabric for dresses, fabric for designer dresses, fabric for long gowns, fabric for crop tops, fabric for gowns, fabric for blouses, silver sequin, 2368320",no ,in_stock,published 
Sequin Work Lurex Knit Fabric-2367920,Sequin Work Lurex Knit ,Knitted ,60 Inches ,"Lightweight & soft drape fabric/ Suitable for making dresses, skirts, tops, designer wear, capes, designer outfits and more.",70% Polyester 30% Lurex,Black ,0.2,2367920,1110 Per Meter ,1110,polyester-fabrics>knits | knits>poly-knits | latest-fabrics | trending-fabrics,"Sequin knitted fabric suitable for making dresses, bodycon dresses, tops, skirts, palazzo, crop tops, evening gowns, designer wear and more.",Sequin knitted fabric is a polyester lurex blend fabric with sequin pasting on the surface of the fabric. This knitted fabric is stretchable fabric with soft feel. Commonly used for making dresses.,"2367920-(2).jpg, 2367920-(3).jpg, 2367920-(4).jpg","knitted sequin fabric, sequin work lurex knitted fabric, knitted fabric, sequin work, knitted sequin, lurex work fabric, fabric for tops, fabric for skirts, fabric for jackets, fabric for dresses, fabric for designer dresses, fabric for long gowns, fabric for crop tops, fabric for gowns, fabric for blouses, black sequin, 2367920",no ,in_stock,published 
Sequin Work Lurex Knit Fabric-2367720,Sequin Work Lurex Knit ,Knitted ,60 Inches ,"Lightweight & soft drape fabric/ Suitable for making dresses, skirts, tops, designer wear, capes, designer outfits and more.",70% Polyester 30% Lurex,Gold On Black ,0.2,2367720,1110 Per Meter ,1110,polyester-fabrics>knits | knits>poly-knits | latest-fabrics | trending-fabrics,"Sequin knitted fabric suitable for making dresses, bodycon dresses, tops, skirts, palazzo, crop tops, evening gowns, designer wear and more.",Sequin knitted fabric is a polyester lurex blend fabric with sequin pasting on the surface of the fabric. This knitted fabric is stretchable fabric with soft feel. Commonly used for making dresses.,"2367720-(4).jpg, 2367720-(2).jpg, 2367720-(3).jpg","knitted sequin fabric, sequin work lurex knitted fabric, knitted fabric, sequin work, knitted sequin, lurex work fabric, fabric for tops, fabric for skirts, fabric for jackets, fabric for dresses, fabric for designer dresses, fabric for long gowns, fabric for crop tops, fabric for gowns, fabric for blouses, golden sequin, 2367720",no,in_stock,published 
Sequin Work Lurex Knit Fabric-2367620,Sequin Work Lurex Knit ,Knitted ,60 Inches ,"Lightweight & soft drape fabric/ Suitable for making dresses, skirts, tops, designer wear, capes, designer outfits and more.",70% Polyester 30% Lurex,Copper On Black ,0.2,2367620,1110 Per Meter ,1110,polyester-fabrics>knits | knits>poly-knits | latest-fabrics | trending-fabrics,"Sequin knitted fabric suitable for making dresses, bodycon dresses, tops, skirts, palazzo, crop tops, evening gowns, designer wear and more.",Sequin knitted fabric is a polyester lurex blend fabric with sequin pasting on the surface of the fabric. This knitted fabric is stretchable fabric with soft feel. Commonly used for making dresses.,"2367620-(4).jpg, 2367620-(2).jpg, 2367620-(3).jpg","knitted sequin fabric, sequin work lurex knitted fabric, knitted fabric, sequin work, knitted sequin, lurex work fabric, fabric for tops, fabric for skirts, fabric for jackets, fabric for dresses, fabric for designer dresses, fabric for long gowns, fabric for crop tops, fabric for gowns, fabric for blouses, copper sequin, 2367620",no,in_stock,published 
