name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,min_order_qty,max_order_qty,step,quantity,price_text,ragular_price,sale_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Printed Summer Cool Georgette-32S1F34,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Black & white,0.2,32S1F34,1.3,1.3,0.1,1.3,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F34-(4).jpg, 32S1F34-(2).jpg, 32S1F34-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, black and white",yes,in_stock,published 
Printed Georgette-32S1F35,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Red & Black,0.15,32S1F35,0.8,0.8,0.1,0.8,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F35-(4).jpg, 32S1F35-(2).jpg, 32S1F35-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, red, black",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F36,Summer Cool Georgette,Plain,58 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Rust ,0.2,32S1F35,1.5,1.5,0.1,1.5,250 per meter,250,200,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F35-(4).jpg, 32S1F35-(2).jpg, 32S1F35-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, rust",yes,in_stock,published 
Printed Georgette-32S1F37,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F37,1.4,1.4,0.1,1.4,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F37-(4).jpg, 32S1F37-(2).jpg, 32S1F37-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F38,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Black & white,0.15,32S1F38,1.7,1.7,0.1,1.7,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F38-(4).jpg, 32S1F38-(2).jpg, 32S1F38-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, black and white",yes,in_stock,published 
Printed Georgette-32S1F39,Printed Georgette,Plain,58 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F39,1,1,0.1,1,220 per meter,220,176,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F39-(4).jpg, 32S1F39-(2).jpg, 32S1F39-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F40,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Black & white,0.2,32S1F40,1.4,1.4,0.1,1.4,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F40-(4).jpg, 32S1F40-(2).jpg, 32S1F40-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, black, white",yes,in_stock,published 
Printed Georgette-32S1F41,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F41,0.9,0.9,0.1,0.9,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F41-(4).jpg, 32S1F41-(2).jpg, 32S1F41-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F42,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,White,0.15,32S1F42,1.2,1.2,0.1,1.2,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F42-(4).jpg, 32S1F42-(2).jpg, 32S1F42-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, white",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F43,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Multicolour,0.2,32S1F43,1.8,1.8,0.1,1.8,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F43-(4).jpg, 32S1F43-(2).jpg, 32S1F43-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, black",yes,in_stock,published 
Printed Georgette-32S1F44,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F44,1.2,1.2,0.1,1.2,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F44-(4).jpg, 32S1F44-(2).jpg, 32S1F44-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F45,Summer Cool Georgette,Plain,58 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Black & white,0.2,32S1F45,3.8,3.8,0.1,3.8,220 per meter,220,176,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F45-(4).jpg, 32S1F45-(2).jpg, 32S1F45-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, black, white",yes,in_stock,published 
