name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,price_text,ragular_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Printed Cotton Voile-697120,Cotton Voil ,Plain ,44 Inches ,"Lightweight & semi sheer/ Suitable for making dresses, tops, kurti, blouses, scarves and more.",100% Cotton ,Multicolour ,0.2,697120,130 Per Meter ,130,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton voile fabric is suitable for making dresses, skirts, tops, kurti, blouses, kaftan, scarves, kids wear and more.","Printed cotton voile fabric is a plain weave cotton based fabric. Cotton Voile is known for its light weight, the fabric is mostly used in soft furnishing designing dresses. Commly used for making or designing dresses.","697120-(4).jpg, 697120-(2).jpg, 697120-(3).jpg","printed voile, printed cotton voile, cotton voile prints, voile prints, voil prints, printed voil, printed cotton, cotton prints, fabric for kurtis, fabric for tops, fabric for suits, fabric for dresses, fabric for blouses, fabric for skirts, fabric for gowns, fabric for kaftans, fabric for kids wear, 697120 , floral prints",no ,in_stock,Published
Printed Cotton Voile-697020,Cotton Voil ,Plain ,44 Inches ,"Lightweight & semi sheer/ Suitable for making dresses, tops, kurti, blouses, scarves and more.",100% Cotton ,Multicolour ,0.2,697020,130 Per Meter ,130,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton voile fabric is suitable for making dresses, skirts, tops, kurti, blouses, kaftan, scarves, kids wear and more.","Printed cotton voile fabric is a plain weave cotton based fabric. Cotton Voile is known for its light weight, the fabric is mostly used in soft furnishing designing dresses. Commly used for making or designing dresses.","697020-(4).jpg, 697020-(2).jpg, 697020-(3).jpg","printed voile, printed cotton voile, cotton voile prints, voile prints, voil prints, printed voil, printed cotton, cotton prints, fabric for kurtis, fabric for tops, fabric for suits, fabric for dresses, fabric for blouses, fabric for skirts, fabric for gowns, fabric for kaftans, fabric for kids wear, 697020 , floral prints",no ,in_stock,Published
Printed Spun-2373420 ,Printed Spun ,Twill ,44 Inches ,"Medium Weight/ Used for making dresses, suits, skirts, blouses, tops, kurtis, kaftan, palazzo, suits and more.",100% Polyester ,Multicolour ,0.2,2373420,450 Per Meter ,450,prints>poly-prints | polyester-fabrics>prints | latest-fabrics | autumn-winter | trending-fabrics,"Printed Spun fabric is commonly used for making winter suits, kurta, blouses, suits, kurtis, tops, tunics, stoles, scarves, dresses, skirts etc.","Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","2373420-(4).jpg, 2373420-(2).jpg, 2373420-(3).jpg","printed spun fabric, printed spun, spun prints, printed poly spun, poly spun, spun, fabric for winters, fabric for winter suits, fabric for kurtis, fabric for tops, fabric for skirts, fabric for winter dresses, fabric for blouses, fabric for nehru jackets, fabric for kurtas, fabric for scarves, fabric for stoles, fabric for shawls, fabric for side shawls, 2373420",no ,in_stock,Published
Printed Spun-2372620 ,Printed Spun ,Twill ,44 Inches ,"Medium Weight/ Used for making dresses, suits, skirts, blouses, tops, kurtis, kaftan, palazzo, suits and more.",100% Polyester ,Multicolour ,0.2,2372620,450 Per Meter ,450,prints>poly-prints | polyester-fabrics>prints | latest-fabrics | autumn-winter | trending-fabrics,"Printed Spun fabric is commonly used for making winter suits, kurta, blouses, suits, kurtis, tops, tunics, stoles, scarves, dresses, skirts etc.","Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","2372620-(4).jpg, 2372620-(2).jpg, 2372620-(3).jpg","printed spun fabric, printed spun, spun prints, printed poly spun, poly spun, spun, fabric for winters, fabric for winter suits, fabric for kurtis, fabric for tops, fabric for skirts, fabric for winter dresses, fabric for blouses, fabric for nehru jackets, fabric for kurtas, fabric for scarves, fabric for stoles, fabric for shawls, fabric for side shawls, 2372620 , royal print",no ,in_stock,Published
Printed Spun-2373220 ,Printed Spun ,Twill ,44 Inches ,"Medium Weight/ Used for making dresses, suits, skirts, blouses, tops, kurtis, kaftan, palazzo, suits and more.",100% Polyester ,Pink ,0.2,2373220,450 Per Meter ,450,prints>poly-prints | polyester-fabrics>prints | latest-fabrics | autumn-winter | trending-fabrics,"Printed Spun fabric is commonly used for making winter suits, kurta, blouses, suits, kurtis, tops, tunics, stoles, scarves, dresses, skirts etc.","Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","2373220-(4).jpg, 2373220-(2).jpg, 2373220-(3).jpg","printed spun fabric, printed spun, spun prints, printed poly spun, poly spun, spun, fabric for winters, fabric for winter suits, fabric for kurtis, fabric for tops, fabric for skirts, fabric for winter dresses, fabric for blouses, fabric for nehru jackets, fabric for kurtas, fabric for scarves, fabric for stoles, fabric for shawls, fabric for side shawls, 2373220 , paisley print",no ,in_stock,Published
Printed Georgette-2374720,Printed Georgette ,Plain ,44 Inches ,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester ,Blue ,0.2,2374720,310 Per Meter ,310,prints>poly-prints | polyester-fabrics>prints | latest-fabrics | spring-summer,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","2374720-(4).jpg, 2374720-(2).jpg, 2374720-(3).jpg","printed georgette, georgette prints, primted poly georgette, poly georgette, georgette, printed fabric, fabric for kurti, fabric for suits, fabric for sarees, fabric for skirts, fabric for kaftans, fabric for tops, fabric for blouses, fabric for stoles, fabric for gowns, fabric for palazzos, 2374720",no ,in_stock,Published
Printed Georgette-2376420,Printed Georgette ,Plain ,44 Inches ,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester ,Red & White ,0.2,2376420,310 Per Meter ,310,prints>poly-prints | polyester-fabrics>prints | latest-fabrics | spring-summer,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","2376420-(4).jpg, 2376420-(2).jpg, 2376420-(3).jpg","printed georgette, georgette prints, primted poly georgette, poly georgette, georgette, printed fabric, fabric for kurti, fabric for suits, fabric for sarees, fabric for skirts, fabric for kaftans, fabric for tops, fabric for blouses, fabric for stoles, fabric for gowns, fabric for palazzos, 2376420 , polka dots",no ,in_stock,Published
Printed Georgette-2374820,Printed Georgette ,Plain ,44 Inches ,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester ,Powder Blue,0.2,2374820,310 Per Meter ,310,prints>poly-prints | polyester-fabrics>prints | latest-fabrics | spring-summer,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","2374820-(4).jpg, 2374820-(2).jpg, 2374820-(3).jpg","printed georgette, georgette prints, primted poly georgette, poly georgette, georgette, printed fabric, fabric for kurti, fabric for suits, fabric for sarees, fabric for skirts, fabric for kaftans, fabric for tops, fabric for blouses, fabric for stoles, fabric for gowns, fabric for palazzos, 2374820 , ",no ,in_stock,Published
Printed Georgette-2374920,Printed Georgette ,Plain ,44 Inches ,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester ,Multicolour ,0.2,2374920,310 Per Meter ,310,prints>poly-prints | polyester-fabrics>prints | latest-fabrics | spring-summer,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","2374920-(4).jpg, 2374920-(2).jpg, 2374920-(3).jpg","printed georgette, georgette prints, primted poly georgette, poly georgette, georgette, printed fabric, fabric for kurti, fabric for suits, fabric for sarees, fabric for skirts, fabric for kaftans, fabric for tops, fabric for blouses, fabric for stoles, fabric for gowns, fabric for palazzos, 2374920 , floral print ",no ,in_stock,Published
Printed Georgette-2375420,Printed Georgette ,Plain ,44 Inches ,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester ,Multicolour ,0.2,2375420,310 Per Meter ,310,prints>poly-prints | polyester-fabrics>prints | latest-fabrics | spring-summer,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","2375420-(4).jpg, 2375420-(2).jpg, 2375420-(3).jpg","printed georgette, georgette prints, primted poly georgette, poly georgette, georgette, printed fabric, fabric for kurti, fabric for suits, fabric for sarees, fabric for skirts, fabric for kaftans, fabric for tops, fabric for blouses, fabric for stoles, fabric for gowns, fabric for palazzos, 2375420 , floral print ",no ,in_stock,Published
